City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-07-20 21:50:08,overcast clouds,71.2906,-156.7887,51.82,62,100,6.91
1,Busselton,AU,2022-07-20 21:50:09,overcast clouds,-33.65,115.3333,55.81,94,100,10.02
2,Ribeira Grande,PT,2022-07-20 21:50:09,few clouds,38.5167,-28.7,73.8,83,20,5.75
3,Rikitea,PF,2022-07-20 21:50:09,clear sky,-23.1203,-134.9692,73.35,75,0,3.98
4,Bilma,NE,2022-07-20 21:50:09,broken clouds,18.6853,12.9164,92.82,17,73,2.86
5,Albany,US,2022-07-20 21:45:29,scattered clouds,42.6001,-73.9662,95.65,48,47,4.0
6,Bambous Virieux,MU,2022-07-20 21:50:10,light intensity shower rain,-20.3428,57.7575,68.25,83,75,24.16
7,Mataura,NZ,2022-07-20 21:50:10,overcast clouds,-46.1927,168.8643,40.48,88,100,2.84
8,Bredasdorp,ZA,2022-07-20 21:50:11,clear sky,-34.5322,20.0403,45.43,87,1,4.99
9,Alexandria,EG,2022-07-20 21:45:29,clear sky,31.2156,29.9553,77.54,73,0,12.66
10,Arraial Do Cabo,BR,2022-07-20 21:50:11,broken clouds,-22.9661,-42.0278,71.56,88,75,9.22
11,Coquimbo,CL,2022-07-20 21:49:12,overcast clouds,-29.9533,-71.3436,55.13,82,100,2.3
12,Saint-Philippe,RE,2022-07-20 21:48:21,scattered clouds,-21.3585,55.7679,67.59,78,45,13.69
13,Burnie,AU,2022-07-20 21:50:11,overcast clouds,-41.0667,145.9167,45.95,83,88,8.59
14,Shimoda,JP,2022-07-20 21:47:26,overcast clouds,34.6667,138.95,79.11,82,95,7.49
15,Port Alfred,ZA,2022-07-20 21:50:12,overcast clouds,-33.5906,26.891,56.17,97,100,1.99
16,Kaitangata,NZ,2022-07-20 21:50:12,overcast clouds,-46.2817,169.8464,41.94,81,100,7.14
17,Viedma,AR,2022-07-20 21:50:12,broken clouds,-40.8135,-62.9967,62.98,47,72,23.62
18,Ahipara,NZ,2022-07-20 21:49:14,broken clouds,-35.1667,173.1667,55.33,75,73,19.06
19,Termoli,IT,2022-07-20 21:50:13,clear sky,41.9888,14.9895,73.58,53,0,2.28
20,Luziania,BR,2022-07-20 21:50:13,clear sky,-16.2525,-47.9503,76.69,45,3,5.57
21,Puerto Ayora,EC,2022-07-20 21:46:38,overcast clouds,-0.7393,-90.3518,78.76,100,94,8.99
22,Shakiso,ET,2022-07-20 21:50:14,overcast clouds,5.75,38.9167,57.47,88,91,1.92
23,Alice Springs,AU,2022-07-20 21:50:14,clear sky,-23.7,133.8833,33.35,69,0,0.0
24,Terme,TR,2022-07-20 21:50:14,overcast clouds,41.2092,36.9739,68.25,82,100,7.81
25,Krasnoselkup,RU,2022-07-20 21:50:15,overcast clouds,65.7,82.4667,51.13,86,100,2.98
26,Batemans Bay,AU,2022-07-20 21:50:15,overcast clouds,-35.7167,150.1833,51.1,84,100,3.22
27,East London,ZA,2022-07-20 21:46:14,light rain,-33.0153,27.9116,61.72,83,96,4.61
28,Khatanga,RU,2022-07-20 21:46:06,overcast clouds,71.9667,102.5,45.61,68,100,20.24
29,Kaeo,NZ,2022-07-20 21:50:15,scattered clouds,-35.1,173.7833,55.33,95,26,14.16
30,Kapaa,US,2022-07-20 21:50:16,few clouds,22.0752,-159.319,82.72,71,20,17.27
31,Manjeshwar,IN,2022-07-20 21:50:16,overcast clouds,12.7194,74.8861,74.35,89,85,9.19
32,Weyburn,CA,2022-07-20 21:50:16,clear sky,49.6668,-103.8511,73.62,43,0,21.85
33,Batagay-Alyta,RU,2022-07-20 21:47:24,overcast clouds,67.8006,130.4114,41.34,79,100,1.61
34,Nemuro,JP,2022-07-20 21:50:17,broken clouds,43.3236,145.575,58.48,90,69,7.07
35,Yellowknife,CA,2022-07-20 21:50:17,broken clouds,62.456,-114.3525,68.52,49,75,10.36
36,Kostino,RU,2022-07-20 21:50:17,broken clouds,58.9097,53.2691,50.81,97,71,2.77
37,Tasca,RO,2022-07-20 21:50:18,few clouds,46.9,26.0167,61.45,76,20,2.8
38,Upernavik,GL,2022-07-20 21:50:18,overcast clouds,72.7868,-56.1549,48.33,69,87,7.54
39,Hermanus,ZA,2022-07-20 21:48:12,clear sky,-34.4187,19.2345,51.57,68,1,3.44
40,Saskylakh,RU,2022-07-20 21:50:18,broken clouds,71.9167,114.0833,42.01,76,67,14.54
41,Port Lincoln,AU,2022-07-20 21:50:19,broken clouds,-34.7333,135.8667,51.49,80,77,11.81
42,Yazman,PK,2022-07-20 21:50:19,few clouds,29.1212,71.7446,93.09,55,17,21.63
43,Salalah,OM,2022-07-20 21:49:48,drizzle,17.0151,54.0924,77.09,94,100,5.75
44,Qrendi,MT,2022-07-20 21:50:19,clear sky,35.8347,14.4583,80.11,71,0,0.87
45,Iqaluit,CA,2022-07-20 21:50:20,broken clouds,63.7506,-68.5145,47.93,87,75,3.44
46,Constitucion,CL,2022-07-20 21:50:20,clear sky,-35.3333,-72.4167,52.77,92,5,9.78
47,Punta Arenas,CL,2022-07-20 21:50:20,broken clouds,-53.15,-70.9167,35.62,80,75,23.02
48,Port Elizabeth,ZA,2022-07-20 21:51:21,broken clouds,-33.918,25.5701,56.1,94,75,6.91
49,Naqadeh,IR,2022-07-20 21:51:21,clear sky,36.9553,45.388,77.92,20,0,3.98
50,Elk City,US,2022-07-20 21:51:21,clear sky,35.412,-99.4043,101.08,30,0,9.22
51,Broken Hill,AU,2022-07-20 21:51:22,overcast clouds,-31.95,141.4333,47.17,92,99,14.18
52,Cherskiy,RU,2022-07-20 21:51:22,few clouds,68.75,161.3,44.01,54,15,13.56
53,Lorengau,PG,2022-07-20 21:51:22,overcast clouds,-2.0226,147.2712,81.1,77,96,3.47
54,Neyshabur,IR,2022-07-20 21:51:23,clear sky,36.2133,58.7958,78.12,21,0,1.95
55,Shitanjing,CN,2022-07-20 21:51:23,few clouds,39.2342,106.3439,68.23,47,20,7.34
56,Bluff,NZ,2022-07-20 21:51:23,overcast clouds,-46.6,168.3333,40.8,72,100,6.96
57,Tuktoyaktuk,CA,2022-07-20 21:51:23,overcast clouds,69.4541,-133.0374,53.6,82,100,11.5
58,Cabo San Lucas,MX,2022-07-20 21:50:44,clear sky,22.8909,-109.9124,97.61,49,0,17.27
