City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-07-18 22:16:30,22.8909,-109.9124,91.51,64,20,11.5
1,Busselton,AU,2022-07-18 22:16:26,-33.65,115.3333,50.29,86,0,8.68
2,Half Moon Bay,US,2022-07-18 22:15:34,37.4636,-122.4286,99.88,67,0,21.85
3,Severo-Kurilsk,RU,2022-07-18 22:16:28,50.6789,156.125,55.72,89,94,4.47
4,Yellowknife,CA,2022-07-18 22:15:09,62.456,-114.3525,72.12,56,75,8.99
5,Jijiga,ET,2022-07-18 22:17:13,9.35,42.8,63.59,66,90,18.3
6,Bredasdorp,ZA,2022-07-18 22:13:41,-34.5322,20.0403,54.28,85,100,2.04
7,Ribeira Grande,PT,2022-07-18 22:15:06,38.5167,-28.7,73.02,90,23,6.31
8,Coihaique,CL,2022-07-18 22:13:32,-45.5752,-72.0662,40.95,70,75,3.44
9,Nisia Floresta,BR,2022-07-18 22:17:13,-6.0911,-35.2086,77.38,90,69,10.09
10,Kawalu,ID,2022-07-18 22:17:14,-7.3817,108.2082,70.93,98,97,0.92
11,Punta Arenas,CL,2022-07-18 22:15:18,-53.15,-70.9167,41.11,81,75,31.07
12,Kapaa,US,2022-07-18 22:12:25,22.0752,-159.319,84.52,75,40,19.57
13,Itoman,JP,2022-07-18 22:17:14,26.1247,127.6694,86.4,92,75,11.5
14,Raga,SS,2022-07-18 22:17:14,8.4596,25.678,69.44,98,92,3.09
15,Arraial Do Cabo,BR,2022-07-18 22:14:55,-22.9661,-42.0278,69.66,94,20,4.61
16,Hobart,AU,2022-07-18 22:16:26,-42.8794,147.3294,43.27,85,75,6.91
17,Necochea,AR,2022-07-18 22:14:05,-38.5473,-58.7368,43.38,75,8,9.66
18,Bethel,US,2022-07-18 22:11:19,41.3712,-73.414,77.04,92,75,9.22
19,Komsomolskiy,UZ,2022-07-18 22:17:16,40.4272,71.7189,79.52,27,0,9.22
20,Port Alfred,ZA,2022-07-18 22:14:47,-33.5906,26.891,64.9,57,86,8.81
21,Eenhana,NA,2022-07-18 22:17:16,-17.4667,16.3333,53.8,33,3,7.49
22,Hamilton,US,2022-07-18 22:17:00,39.1834,-84.5333,85.32,67,40,5.75
23,Albany,US,2022-07-18 22:12:33,42.6001,-73.9662,77.65,88,100,3.0
24,Port Blair,IN,2022-07-18 22:17:17,11.6667,92.75,80.94,84,99,7.7
25,Leningradskiy,RU,2022-07-18 22:14:59,69.3833,178.4167,34.45,89,100,20.74
26,Rikitea,PF,2022-07-18 22:11:15,-23.1203,-134.9692,74.71,76,17,12.08
27,Sitka,US,2022-07-18 22:17:17,57.0531,-135.33,55.29,82,100,4.61
28,Qaanaaq,GL,2022-07-18 22:16:23,77.484,-69.3632,45.82,56,0,4.56
29,Ushuaia,AR,2022-07-18 22:16:22,-54.8,-68.3,33.46,69,75,25.32
30,Mar Del Plata,AR,2022-07-18 22:16:13,-38.0023,-57.5575,48.09,80,0,8.01
31,Chilca,PE,2022-07-18 22:17:18,-12.5211,-76.7372,61.81,85,93,8.39
32,Sjenica,RS,2022-07-18 22:17:19,43.2731,19.9994,51.64,45,68,2.28
33,Egvekinot,RU,2022-07-18 22:17:19,66.3167,-179.1667,44.22,52,100,12.66
34,Flin Flon,CA,2022-07-18 22:15:08,54.7682,-101.865,84.04,34,40,8.05
35,Olga,RU,2022-07-18 22:17:20,43.7444,135.2892,64.92,87,88,3.04
36,Bambous Virieux,MU,2022-07-18 22:17:20,-20.3428,57.7575,67.21,88,40,17.27
37,Puerto Ayora,EC,2022-07-18 22:11:13,-0.7393,-90.3518,76.96,91,96,5.99
38,Bluff,NZ,2022-07-18 22:15:14,-46.6,168.3333,44.8,75,100,15.37
39,Upernavik,GL,2022-07-18 22:17:21,72.7868,-56.1549,43.92,75,100,0.38
40,Rudsar,IR,2022-07-18 22:17:22,37.1376,50.288,80.4,67,0,3.69
41,Airai,TL,2022-07-18 22:14:19,-8.9266,125.4092,50.31,54,95,2.73
42,Avarua,CK,2022-07-18 22:15:10,-21.2078,-159.775,75.25,73,40,5.75
43,Hermanus,ZA,2022-07-18 22:15:11,-34.4187,19.2345,53.8,83,99,4.34
44,Saint-Philippe,RE,2022-07-18 22:15:53,-21.3585,55.7679,67.59,84,63,17.92
45,Butaritari,KI,2022-07-18 22:15:16,3.0707,172.7902,82.31,77,10,19.01
46,La Ronge,CA,2022-07-18 22:18:22,55.1001,-105.2842,84.42,28,40,10.36
47,Kodiak,US,2022-07-18 22:15:19,57.79,-152.4072,58.51,67,0,10.36
48,Cape Town,ZA,2022-07-18 22:18:23,-33.9258,18.4232,56.91,80,0,8.99
49,East London,ZA,2022-07-18 22:15:46,-33.0153,27.9116,68.97,35,8,8.97
50,Mount Gambier,AU,2022-07-18 22:18:23,-37.8333,140.7667,35.51,93,75,0.0
51,Agadir,MA,2022-07-18 22:18:24,30.4202,-9.5982,77.45,76,31,7.9
52,Katsuura,JP,2022-07-18 22:18:24,35.1333,140.3,78.82,88,100,19.98
53,Jakar,BT,2022-07-18 22:18:24,27.5492,90.7525,60.49,99,100,1.63
54,Havre-Saint-Pierre,CA,2022-07-18 22:18:25,50.2334,-63.5986,62.96,77,0,11.5
55,Trairi,BR,2022-07-18 22:17:23,-3.2778,-39.2689,77.77,70,6,11.5
56,Ettenheim,DE,2022-07-18 22:18:25,48.25,7.8167,75.18,67,3,3.71
57,Phalombe,MW,2022-07-18 22:18:25,-15.8064,35.6507,62.13,87,90,3.06
58,Krasnoselkup,RU,2022-07-18 22:18:26,65.7,82.4667,49.1,88,59,9.6
59,Fairbanks,US,2022-07-18 22:15:32,64.8378,-147.7164,61.14,70,75,13.8
60,Garowe,SO,2022-07-18 22:18:26,8.4054,48.4845,75.85,62,97,29.82
61,New Norfolk,AU,2022-07-18 22:16:31,-42.7826,147.0587,42.93,88,83,2.91
62,Klaksvik,FO,2022-07-18 22:15:10,62.2266,-6.589,50.92,87,100,11.7
63,Male,MV,2022-07-18 22:18:27,4.1748,73.5089,82.54,74,100,17.56
64,Halifax,CA,2022-07-18 22:16:01,44.6453,-63.5724,78.69,71,89,5.01
65,Mataura,NZ,2022-07-18 22:12:30,-46.1927,168.8643,44.47,97,100,1.03
66,Broome,US,2022-07-18 22:18:27,42.2506,-75.833,77.38,81,40,13.8
67,Gorontalo,ID,2022-07-18 22:18:27,0.5412,123.0595,72.7,90,100,1.77
68,Kaunas,LT,2022-07-18 22:16:10,54.9,23.9,57.38,88,0,5.75
69,Keti Bandar,PK,2022-07-18 22:18:28,24.1447,67.4497,82.4,85,87,10.02
70,Anadyr,RU,2022-07-18 22:18:28,64.75,177.4833,52.3,50,20,26.84
71,Laje,BR,2022-07-18 22:18:28,-10.1833,-40.9667,73.89,52,2,14.07
72,Kruisfontein,ZA,2022-07-18 22:18:29,-34.0033,24.7314,57.88,93,55,1.59
73,Tuktoyaktuk,CA,2022-07-18 22:14:52,69.4541,-133.0374,55.71,81,100,5.64
74,La Plata,AR,2022-07-18 22:18:05,-34.9215,-57.9545,54.95,52,74,6.91
75,Longyearbyen,SJ,2022-07-18 22:13:32,78.2186,15.6401,51.64,66,75,13.8
76,Nezhinka,RU,2022-07-18 22:18:30,51.7676,55.3694,80.76,41,0,15.99
77,Jamestown,US,2022-07-18 22:18:06,42.097,-79.2353,74.95,85,100,12.66
78,Dikson,RU,2022-07-18 22:18:30,73.5069,80.5464,43.18,82,99,12.64
79,Cachira,CO,2022-07-18 22:18:30,7.741,-73.0483,61.21,90,97,3.74
80,Adrar,MR,2022-07-18 22:18:31,20.5022,-10.0711,99.03,15,65,4.81
81,Esperance,AU,2022-07-18 22:18:31,-33.8667,121.9,51.64,89,40,5.14
82,Aklavik,CA,2022-07-18 22:16:02,68.2191,-135.0107,67.8,58,100,13.04
83,Palana,RU,2022-07-18 22:19:31,59.1167,159.9667,52.88,88,94,8.46
84,Dhidhdhoo,MV,2022-07-18 22:16:54,6.8833,73.1,81.97,72,100,14.09
85,Luderitz,NA,2022-07-18 22:19:32,-26.6481,15.1594,57.54,85,0,13.0
86,Carnarvon,AU,2022-07-18 22:15:39,-24.8667,113.6333,61.05,67,0,14.23
87,Saskylakh,RU,2022-07-18 22:15:15,71.9167,114.0833,44.58,77,100,12.86
88,Thompson,CA,2022-07-18 22:14:57,55.7435,-97.8558,84.42,27,38,2.64
89,Martyush,RU,2022-07-18 22:19:32,56.4,61.8819,61.09,93,0,3.78
90,Emerald,AU,2022-07-18 22:15:27,-23.5333,148.1667,55.35,58,0,13.82
91,Teya,RU,2022-07-18 22:19:33,60.3778,92.6267,54.0,99,100,1.3
92,Benghazi,LY,2022-07-18 22:19:33,32.1167,20.0667,80.69,56,0,21.07
93,Hualmay,PE,2022-07-18 22:19:33,-11.0964,-77.6139,65.01,75,62,11.61
94,Kaitangata,NZ,2022-07-18 22:19:34,-46.2817,169.8464,46.06,92,100,8.43
95,Lavrentiya,RU,2022-07-18 22:19:34,65.5833,-171.0,36.3,90,99,13.96
96,Hilo,US,2022-07-18 22:15:13,19.7297,-155.09,89.28,73,100,10.36
97,Grindavik,IS,2022-07-18 22:15:16,63.8424,-22.4338,53.55,87,75,3.44
98,Shache,CN,2022-07-18 22:19:35,38.4167,77.2406,78.71,15,0,5.41
99,La Rioja,ES,2022-07-18 22:14:54,42.25,-2.5,82.18,25,1,9.71
100,Praia,CV,2022-07-18 22:19:35,14.9215,-23.5087,75.74,83,100,13.8
101,Codrington,AU,2022-07-18 22:15:57,-38.2667,141.9667,46.6,72,100,4.85
102,Mackay,AU,2022-07-18 22:18:37,-21.15,149.2,61.68,81,0,8.39
103,Lata,PT,2022-07-18 22:18:20,40.1629,-8.3327,59.92,96,4,1.52
104,Winnemucca,US,2022-07-18 22:19:15,40.973,-117.7357,84.25,39,20,6.91
105,Gizo,SB,2022-07-18 22:19:36,-8.103,156.8419,82.58,68,77,5.79
106,Sorong,ID,2022-07-18 22:19:36,-0.8833,131.25,76.91,87,96,4.7
107,Padang,ID,2022-07-18 22:16:17,-0.9492,100.3543,76.35,75,9,3.65
108,Avera,US,2022-07-18 22:19:37,33.194,-82.5271,90.91,55,76,10.74
109,Vardo,NO,2022-07-18 22:19:37,70.3705,31.1107,53.58,87,28,2.3
110,Lebu,CL,2022-07-18 22:15:07,-37.6167,-73.65,45.73,74,91,5.64
111,Siverek,TR,2022-07-18 22:19:37,37.755,39.3167,85.78,23,2,7.36
112,Tautira,PF,2022-07-18 22:19:38,-17.7333,-149.15,75.63,73,15,6.87
113,San Patricio,US,2022-07-18 22:18:27,28.017,-97.5169,98.19,47,57,16.64
114,Los Llanos De Aridane,ES,2022-07-18 22:19:38,28.6585,-17.9182,67.75,93,20,17.27
115,Altamont,US,2022-07-18 22:19:38,42.2068,-121.7372,93.78,19,0,3.0
116,Faanui,PF,2022-07-18 22:15:14,-16.4833,-151.75,76.8,67,72,7.0
117,Andros Town,BS,2022-07-18 22:19:39,24.7,-77.7667,87.76,66,77,12.55
118,Cidreira,BR,2022-07-18 22:19:39,-30.1811,-50.2056,57.27,92,0,4.38
119,Khatanga,RU,2022-07-18 22:19:39,71.9667,102.5,52.84,75,100,1.59
120,Verkhnyaya Inta,RU,2022-07-18 22:19:40,65.9811,60.3094,58.32,76,13,3.58
